停車票號,入場時間,出場時間,發票號碼,收費金額
2021021118403796,2021/02/11 18:40:00,2021/02/11 20:48:31,未開發票,75
2021021118173786,2021/02/11 18:17:00,2021/02/11 20:48:58,未開發票,90
2021021118083784,2021/02/11 18:08:00,2021/02/11 20:49:21,未開發票,90
2021021118363795,2021/02/11 18:36:00,2021/02/11 20:51:07,未開發票,75
2021021118193789,2021/02/11 18:19:00,2021/02/11 21:02:44,未開發票,90
2021021118213790,2021/02/11 18:21:00,2021/02/11 21:03:05,未開發票,90
2021021118333793,2021/02/11 18:33:00,2021/02/11 21:06:46,未開發票,90
2021021118003781,2021/02/11 18:00:00,2021/02/11 21:12:07,未開發票,105
2021021118043782,2021/02/11 18:04:00,2021/02/11 21:23:29,未開發票,105
2021021118153785,2021/02/11 18:15:00,2021/02/11 21:24:51,56697314,105
2021021118233792,2021/02/11 18:23:00,2021/02/11 21:32:33,未開發票,105
2021021118083783,2021/02/11 18:08:00,2021/02/11 21:33:09,未開發票,105
2021021118183787,2021/02/11 18:18:00,2021/02/11 21:43:50,未開發票,105
2021021116183779,2021/02/11 16:18:00,2021/02/11 22:27:57,未開發票,150
2021021118193788,2021/02/11 18:19:00,2021/02/11 23:31:20,56697315,150
2021021113233777,2021/02/11 13:23:00,2021/02/12 05:32:54,56697316,300
2021021116283780,2021/02/11 16:28:00,2021/02/12 07:10:55,56697317,300
2021021208503798,2021/02/12 08:50:00,2021/02/12 10:39:38,56697318,60
2021021216253800,2021/02/12 16:25:00,2021/02/12 17:12:49,未開發票,30
2021021214533799,2021/02/12 14:53:00,2021/02/12 18:10:18,56697319,105
2021021218193801,2021/02/12 18:19:00,2021/02/12 22:58:39,未開發票,150
2021021200103797,2021/02/12 00:10:00,2021/02/13 11:37:22,56697320,300
2021021311593809,2021/02/13 11:59:00,2021/02/13 12:16:58,未開發票,15
2021021312413814,2021/02/13 12:41:00,2021/02/13 13:48:03,56697321,45
2021021312203813,2021/02/13 12:20:00,2021/02/13 13:54:04,未開發票,60
2021021313123816,2021/02/13 13:12:00,2021/02/13 14:21:11,未開發票,45
2021021312153811,2021/02/13 12:15:00,2021/02/13 14:22:58,56697322,75
2021021313503818,2021/02/13 13:50:00,2021/02/13 15:08:22,56697323,45
2021021312423815,2021/02/13 12:42:00,2021/02/13 15:34:42,56697324,90
2021021313593819,2021/02/13 13:59:00,2021/02/13 15:41:47,未開發票,60
2021021310163804,2021/02/13 10:16:00,2021/02/13 15:53:25,未開發票,150
2021021311243808,2021/02/13 11:24:00,2021/02/13 16:03:42,未開發票,150
2021021313443817,2021/02/13 13:44:00,2021/02/13 16:16:20,未開發票,90
2021021312133810,2021/02/13 12:13:00,2021/02/13 18:25:22,未開發票,150
2021021309573802,2021/02/13 09:57:00,2021/02/13 19:19:08,未開發票,150
2021021317543821,2021/02/13 17:54:00,2021/02/13 19:21:00,未開發票,45
2021021311213806,2021/02/13 11:21:00,2021/02/13 19:42:13,56697325,150
2021021310093803,2021/02/13 10:09:00,2021/02/13 21:53:11,未開發票,150
